,id,country,c3,c2,year,gini_reported,palma,ratio_top20bottom20,bottom40,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,link
0,1,Afghanistan,AFG,AF,2008,29.0,,4.33,22.0,9.0,13.0,17.0,22.0,39.0,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,31855.920000000002,,Afghan afghani 2016,Year,,,,1268.0,27722282.0,New 2019,High,12,National statistical authority,European Union and the Central Statistics Organization of Afghanistan,,Living Conditions Survey (LCS),https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/
1,2,Afghanistan,AFG,AF,2012,33.0,,4.11,23.0,9.0,14.0,17.0,22.0,37.0,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,32723.88,,Afghan afghani 2016,Year,,,,1773.0,31161378.0,New 2019,High,12,National statistical authority,European Union and the Central Statistics Organization of Afghanistan,,Living Conditions Survey (LCS),https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/
2,3,Afghanistan,AFG,AF,2017,31.0,,4.44,22.0,9.0,13.0,16.0,22.0,40.0,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,26792.28,,Afghan afghani 2016,Year,,,,1758.0,36296108.0,New 2019,High,12,National statistical authority,European Union and the Central Statistics Organization of Afghanistan,,Living Conditions Survey (LCS),https://eeas.europa.eu/regions/asia/44072/results-afghanistan-living-conditions-survey-alcs-2016-17-released_en
3,4,Albania,ALB,AL,1996,27.01,0.93,3.95,22.85,9.15,13.700000000000001,17.740000000000002,23.29,36.12,3.86,5.29,6.38,7.32,8.38,9.35,10.82,12.47,14.9,21.22,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2254.11,1981.04,US$2011PPP,Year,,,,4635.0,3098699.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
4,5,Albania,ALB,AL,2002,31.740000000000002,1.22,4.83,20.93,8.35,12.58,16.490000000000002,22.21,40.37,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2303.86,1900.3600000000001,US$2011PPP,Year,,,,6088.0,3126183.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
5,6,Albania,ALB,AL,2005,30.6,1.1400000000000001,4.66,21.3,8.4,12.9,17.02,22.5,39.17,3.48,4.92,5.98,6.92,7.99,9.040000000000001,10.370000000000001,12.13,14.83,24.34,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2604.4,2216.2200000000003,US$2011PPP,Year,,,,7245.0,3086810.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
6,7,Albania,ALB,AL,2008,29.98,1.11,4.4,21.94,8.870000000000001,13.07,16.84,22.23,39.0,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.540000000000001,24.46,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2850.42,2385.31,US$2011PPP,Year,,,,8986.0,3002683.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
7,8,Albania,ALB,AL,2012,28.96,1.04,4.2700000000000005,22.02,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.140000000000001,7.03,8.08,9.26,10.52,12.290000000000001,14.89,22.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2703.23,2340.56,US$2011PPP,Year,,,,10321.0,2914091.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
8,9,Algeria,DZA,DZ,1988,40.19,1.9000000000000001,7.21,17.28,6.54,10.74,14.93,20.64,47.15,2.7,3.84,4.87,5.87,6.9,8.03,9.4,11.24,14.34,32.81,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2405.17,1789.69,US$2011PPP,Year,,,,,24443472.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
9,10,Algeria,DZA,DZ,1995,35.33,1.45,6.11,18.52,6.97,11.55,16.240000000000002,22.63,42.62,2.87,4.09,5.22,6.33,7.48,8.76,10.290000000000001,12.34,15.73,26.89,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2291.4900000000002,1853.6200000000001,US$2011PPP,Year,,,,9343.0,28757788.0,New 2019,Average,13,World Bank,World Bank 2019,PovcalNet,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
