"File.Name..Publication.Date...Methodology...Notes."
"WorldRiskIndex 2000,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2001,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2002,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2003,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2004,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2005,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2006,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2007,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2008,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2009,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2010,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2011,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2012,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2013,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2014,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2015,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2016,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2017,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2018,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2019,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2020,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2021,""8th September 2022"",""Version 2022"",""Retroactive calculation"""
"WorldRiskIndex 2022,""8th September 2022"",""Version 2022"",""None"""
"WorldRiskIndex 2023,""20th September 2023"",""Version 2022"",""None"""
"WorldRiskIndex 2024,""9th September 2024"",""Version 2022"",""None"""
"WorldRiskIndex 2025,""24th September 2025"",""Version 2022"",""None"""
