"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",4.12,0.25,68,61.19,74.46,69.01,67.56,67.4,68.95,60.81,44.92,65.03,84.56,75.07,67.47,74.5,65.37,56.82,0.01,0.01,46.4,0.01,2.48,0.01,65.42,74.92,75.58,56.25,68.3,50.16,78.95,76.3,38.29,85.59,100,68.4,50.89,64.59,56.01,75.5,79.18,90.31,70.93,76.83,77.63,70.44,64.63,72.81,76.22,64.43,130950.34,66.24,0.57921,59.54,43963.3,53.79,0.19445,52.07,1521.68,47.28,0.00673,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,49.86,241290.09,40.82,1.06725,51.16,205071.6,41.51,0.90705,52.05,156485.45,44.36,0.69215,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1356039.39,41.3,5.99791,33.65,21662.01,30.09,0.09581,0.01,0,0.01,0,0.01,0,0.01,0,65.09,59.08,65.76,9.62,79.71,2.7,70.41,8.4,77.87,1009.21,73.35,142.57,77.11,447.7,41.04,-5.66,76.19,38.48,61.23,28.88,53.69,28.1,46.86,13.4,91.76,0.02,67.93,95.35,72.76,36.1,80.02,92,37.72,52.73,38.87,146.76,84.96,96.45,21.32,4.53,0.508,72.02,393479,64.97,1.49,59.69,71697.17,43.39,0.2,66.27,292833.33,62.95,0.84,24.27,6.47,44.58,27573.82,63.8,41023.99,58.96,1673.71,60.6,478503,51.76,1.824,77.21,1727.4,73.82,0.006784,80.51,-1.43289,77.87,-1.43034,87.45,-2.2213,93.27,-1.86319,67,16,75.09,44,90.9,42,64.94,2.29,85.59,1094.37,70.41,104.32,68.17,0.84,72.82,24.46,70.41,69.61,55.91,0.3,64.83,0.41,74.49,3.38,65.42,5054.29,82.72,9999.46,71.32,19513.11,71.07,58,71.09,58,87.63,18,75.09,199.68,56.9,6.8
"Albania","ALB",6.35,2.37,17.01,9.44,12.78,40.82,52.85,14.54,36.67,0.53,5.03,0.75,59.05,47.11,52.23,31.69,41.08,2.72,2.03,60.02,26.97,0.01,0.18,25.93,41.44,49.59,51.62,73.56,34.83,0.57,60.43,37.24,28.29,46.97,37.12,0.39,38.57,0.01,55.95,0.01,59.28,58.82,45.36,54.69,42.15,56,48.71,43.39,23.14,39.9,16153.82,65.67,0.55809,36.22,2363.12,42.68,0.08164,0.01,0,0.01,0,31.11,82.41,32.61,0.00285,27.02,2.15,25.38,7e-05,0.01,0,0.01,0,50.59,15172.89,69.44,0.5242,52.02,12279.52,70.94,0.42424,51.55,6000.29,69.96,0.2073,24.88,19054.69,33.89,0.65831,22.19,12863.72,30.06,0.44442,22.54,9611.49,30.38,0.33206,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.05,222268.57,85.33,7.67898,0.01,0,0.01,0,0.01,0,0.01,0,25.11,13418.31,26.77,0.46358,37.12,75.43,46.26,12.26,45.35,9.2,54.22,11.6,52.8,6751.69,50.46,1906.88,65.42,238.87,82.72,982.58,37.87,89.52,32.03,92.92,0.01,100,32.8,54.9,81.91,0.09,44.58,638.21,31.11,8.9,44.58,121,26.65,45.23,30.03,106.1,41.92,39.03,59.75,13.59,0.2423,15.57,92,0.01,0,38.61,3671.92,38.53,0.13,0.01,0,0.01,0,0.01,1.06,41.57,26122.65,35.57,662.2,43.35,813.28,50.75,118976.8,61.68,3.934,0.01,0,0.01,0,62.58,-0.80385,56.16,-0.5236,58.69,-0.50833,58.96,-0.68477,48.6,118.4,42.34,416.1,47.53,312.2,62.93,4.02,39.43,21.24,45.06,17.93,63.11,2.33,47.2,55.32,58.96,84.9,50,0.7,49.73,1.95,46.49,26.64,38.87,24.29,47.67,1691.86,44.09,1171.51,22.55,97,22.74,97,24.15,94,46.02,2496.57,36.67,2.4
"Algeria","DZA",10.2,2.64,39.44,28.15,53.67,40.62,44.8,31.78,39.28,8.34,37.89,47.17,59.23,55.34,51.64,32.4,40.05,2.69,0.5,1.68,24.89,0.01,37.27,42.82,41.92,53.19,39.05,46.25,37.15,19.44,49.65,28.46,36.51,43.35,38.3,43.48,24.25,0.55,38.51,57.78,55.18,63.57,51.02,60.47,54.94,55.29,48.24,48.72,21.55,59.66,88893.23,53.37,0.27169,41.73,5384.6,28.3,0.01646,0.01,0,0.01,0,30.75,81.59,20.37,0.00025,23.72,0.7,0.01,0,0.01,0,0.01,0,24.55,58.86,19.81,0.00018,23.44,32.59,19.78,1e-04,0.01,0,0.01,0,34.53,74070.7,19.4,0.22638,33.89,60790.08,19.4,0.18579,30.7,31022.32,17.57,0.09481,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,1707236.49,33.33,5.21788,37.74,32842.53,30.44,0.10038,35.25,37.85,33.32,0.00012,51.71,307415.65,35.46,0.93956,43.1,73.77,40.78,13.19,56.32,7,50.23,12.3,44.09,11309.64,34.58,6415.33,43.59,24.22,49.07,15.5,35.77,91.37,38.58,86.06,24.61,97.44,15.36,98.6,53.85,5.05,45.78,624.18,25.56,6.7,31.68,131,36.2,50.68,36.82,136.41,44.91,42.92,47.2,7.57,0.24847,50.89,95121,37.15,0.28,38.03,3447.25,15.46,0.01,30.12,250,0.01,0,30.03,12.14,31.28,16923.91,47.67,10669.85,46.02,922.36,44.52,60568,33.31,0.188,57.14,415.6,58.43,0.001278,55.18,-0.52134,55.18,-0.47264,67.93,-1.12645,59.49,-0.70859,49.3,114.01,52.8,195.87,59.68,184.64,61.28,5.44,56.41,122.51,53.51,32.09,59.87,6.08,55.18,42.8,51.16,92.84,39.7,2.14,57.07,0.96,49.54,21.34,47.9,156.46,45.54,1417.51,53.03,3308.82,31.31,95,29.91,95,10.68,98,45.3,2727.99,35.41,2.3
"Andorra","AND",0.33,0.02,5.5,2.64,2.08,30.34,33.21,0.58,29.87,0.01,22.44,0.01,25.68,35.29,27.11,23.82,43.23,0.14,0.01,0.01,0.01,0.01,0.16,0.01,22.2,47.23,28.93,40.09,0.01,0.01,33.64,33.35,36.31,22.89,32.07,0.01,0.01,0.01,0.01,0.01,28.74,22.94,40.3,39.05,27.92,23.92,30.73,14.77,38.43,15.49,81.58,39.59,0.10691,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.87,5875.92,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.96,80.96,30.88,14.75,39.2,10.2,56.9,11.2,32.07,31133.06,26.09,10565.71,53.51,79.46,30.03,-160.22,0.01,100,0.01,100,0.01,100,0.01,100,30.74,180.46,36.82,851.95,23.56,5.81,47.2,119.24,35.24,49.42,37.42,139.96,31.39,26.9,60.03,13.63,0.21281,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.7,110.06,19.49,12811.27,20.45,149.15,12.55,268.26,0.01,0,0.01,0,0.01,0,0.01,0,29.81,1.25953,27.7,1.54304,14.41,1.349,36.51,0.86592,34.24,301.2,47.44,319.8,40.75,415.6,37.43,856.79,27.18,6.96,28.68,5.08,23.33,1926.72,12.55,119.95,46.73,94.97,36.04,4.3,19.25,33.83,41.83,35.22,12.55,2.97,20.45,297.21,12.55,97.36,36.65,93,37.43,93,41.38,82,31.28,7924.94,59.75,7.86
"Angola","AGO",11.05,2.26,53.99,34.99,61.48,73.15,57.29,63.52,76.09,2.71,69.88,45.73,70.93,71.64,72.13,81.54,66.56,0.12,0.13,23.87,32.35,0.01,61.78,40.12,76.79,70.33,51.34,38.84,62.77,43.27,67,89.46,63.94,80.51,85.59,42.87,46.67,0.01,42.44,49.28,76.09,66.12,71.64,68.69,74.73,71.29,72.98,76.89,86.48,15.88,83.76,15.7,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,24.71,26,17.48,0.00013,0.01,0,0.01,0,0.01,0,0.01,0,23.83,45.27,20.9,0.00023,24.18,41.95,21.24,0.00021,29.28,41.61,24.68,0.00021,36.8,82376.62,27.17,0.4176,37.79,74382.5,26.84,0.37708,38.45,60282.7,29.42,0.3056,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.16,1120493.23,37.87,5.68024,69.57,409316.05,64.87,2.07499,77.56,81926.62,77.46,0.41532,45.84,184915.43,35.11,0.93741,77.87,51.7,75.73,8.89,66.4,4.5,74.49,7.7,56.41,4729.62,46.73,2330.04,41.31,16.74,36.51,-42.24,67.86,47.15,58.07,35.99,52.53,30.65,35.65,43.4,72.42,0.37,61.99,151.59,85.81,52.2,93.27,84,60.85,62.77,67.18,303,79.66,92.87,24.91,4.95,0.47356,47.99,61722,38.3,0.31,55.29,39207.33,39.4,0.16,0.01,0,0.01,0,66.11,827.07,76.4,39239.24,69.12,52251.18,68.32,2224.15,46.48,73950,38.75,0.392,47.07,114.2,51.6,0.000648,75.09,-1.22006,77.11,-1.36949,60.03,-0.54199,72.82,-1.30031,69.97,12.34,73.35,45.61,70.5,108.08,66.93,1.79,66.46,469.48,84.04,157.37,65.7,1.33,75.73,23.97,72.82,65.53,58.96,0.23,80.84,0.14,81.55,2.38,81.55,11757.99,70.86,6716.4,78.68,25738.86,84.14,44,100,8,76.88,29,56.9,1176.84,77.87,13.3
"Antigua and Barbuda","ATG",2.84,1.2,6.74,9.07,2.51,13.45,45.46,4.43,46.37,0.13,50.51,0.01,35.46,44.81,33.15,2.59,28.36,2.51,38.08,0.01,0.01,3.15,2.06,59.35,40.99,43.82,41.27,57.6,30.91,0.01,24.49,51.02,45.91,41.31,52.56,0.01,24.51,0.01,0.01,0.01,34.99,35.94,46.01,45.98,42.52,28.77,38.2,39.51,0.17,22.76,623.3,100,0.82016,20.35,150.14,54.41,0.19755,0.01,0,0.01,0,28.24,43.52,62.9,0.05727,26.63,2.08,43.6,0.00274,29.81,1.83,49.58,0.00241,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.65,2811.91,100,3.7,41.71,227.99,62.47,0.3,0.01,0,0.01,0,15.31,5851.82,100,7.7,15.3,106.52,32.57,0.14016,0.01,0,0.01,0,38.96,74975.08,90.42,98.6544,38.01,75.28,44.21,12.62,45.35,9.2,42.34,13.3,36.82,22244.44,46.26,2558.45,50.46,65.68,65.76,350.18,24.25,97.55,39.4,84.76,0.01,100,0.01,100,47.79,18.63,12.55,1332.01,34.37,10.67,75.73,95,50.7,58.56,41.57,160.41,42.18,39.13,55.91,10.49,0.35838,0.01,0,0.01,0,17.34,83.33,34.65,0.09,0.01,0,0.01,0,56.16,182.81,46.73,28402.66,52.56,15665.77,47.2,979.72,0.01,0,0.01,0,0.01,0,0.01,0,31.28,1.12754,39.15,0.41646,37.72,0.79953,34.24,0.93167,46.97,144.59,45.06,366.84,48.05,301.94,44,397.8,45.54,41.05,39.7,11.93,41.92,269.57,39.43,73.4,14.41,110.7,43.1,1.51,25.99,18.79,49.77,20.92,46.02,111.41,31.28,631.38,42.84,999.96,0.01,99,0.01,99,50.02,68,29.59,8387.6,27.18,1.8
"Argentina","ARG",15.81,11.59,21.57,20.69,10.95,44.28,38.26,26.96,41.04,1.95,45.92,0.6,51.38,42.6,41,37.72,56.15,45.31,27.91,36.32,54.85,0.01,42.07,26.52,39,29.34,42.57,43.97,29.26,20.27,41.39,21.51,23.84,52.1,55.67,22.22,33.61,0.01,35.41,0.01,49.93,52.88,40.2,41.77,46.03,38.33,43.85,39.35,36.15,50.65,49114.36,42.44,0.1284,53.43,16084.06,34.75,0.04205,52.91,1617.45,40.95,0.00423,34.43,131.69,22.15,0.00034,31.9,16.3,23.81,4e-05,32.5,5.65,25.1,1e-05,42.57,3913.35,34.04,0.01023,41.06,1978.6,32.91,0.00517,38.22,469.54,30.65,0.00123,59.36,593274.06,50.72,1.55099,59.98,494271.02,50.72,1.29217,60.62,340036.05,49.02,0.88895,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.63,2452702.34,46.33,6.41209,34.01,22762.99,24.19,0.05951,50.46,5436.6,46.05,0.01421,36.49,59831.19,19.28,0.15642,39.43,74.7,38.58,13.42,37.61,10.3,22.89,16.3,41.57,14455.22,43.59,3198.21,39.97,7.34,48.37,11.84,23.91,97.63,35.81,90.39,24.95,97.13,16.47,97.9,42.57,40.31,40.25,802,13.58,3.7,34.07,128,39.43,53.46,14.41,74.15,45.16,42.97,61.42,15.78,0.3763,29.04,3986,17,0.01,47.1,13047.08,23.98,0.03,0.01,0,0.01,0,57.92,263.91,40.51,25047.67,45.3,8648.52,41.83,737.32,41.19,38577.2,30.44,0.102,0.01,0,0.01,0,52.56,-0.34125,47.44,-0.0455,50.23,0.00306,55.67,-0.56894,30.88,336.52,52.33,203.81,39.15,443.59,44.57,371.09,48.6,58,43.59,16.06,46.34,145.71,43.1,63.59,28.2,104.49,59.75,0.21,50.95,1.73,27.7,66.96,42.34,77.93,32.82,675.49,43.84,1162.27,40.33,91,38.93,92,30.09,91,45.06,2740.83,69.97,10.9
"Armenia","ARM",2.2,0.23,20.98,18.11,11.36,44.9,52.58,35.37,38.44,0.7,38.98,0.59,55.05,45.16,45.04,45.16,44.49,48.23,0.01,0.01,29.07,0.01,2.77,0.01,47.32,42.04,52.21,73.58,31.15,20.06,54.3,46.13,32.97,38.87,44.33,63.42,0.01,0.54,0.01,34.82,55.17,54.94,38.15,52.48,46.01,52.41,38.7,46.81,43.56,42.98,24173.81,100,0.82016,43.42,8754.93,60.95,0.29703,30.22,37.31,36.61,0.00127,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.17,27259.12,38.45,0.92484,24.88,14823.38,32.29,0.50292,23.21,10017.61,31.01,0.33987,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.47,216823,66.38,7.3563,37.36,31754.06,54.66,1.07734,0.01,0,0.01,0,0.01,0,0.01,0,47.2,72.64,47.44,12.16,33.85,10.9,52.21,11.9,53.03,6715.14,51.4,1830.24,64.43,216.31,84.04,991.34,26.08,96.97,37.2,89.29,18.31,99.24,21.98,93,57.37,2.52,51.4,425.84,38.39,12.3,55.42,111,33.89,48.86,32.07,113.53,37.52,31.16,63.18,17.72,0.2915,54.1,113880,74.35,3.85,0.01,0,0.01,0,28.97,66.67,0.01,0,25.51,7.38,49.3,29100.54,39.7,3722.9,46.26,925.19,0.01,0,0.01,0,34.54,0.2,35.11,6e-06,58.69,-0.67082,51.86,-0.25458,54.7,-0.26274,55.18,-0.54644,37.72,259,38.58,511.2,39.47,442,69.78,0.9,43.35,34.83,48.84,22.69,72.93,0.25,43.35,63.58,45.54,96.2,30.88,6.42,47.76,2.27,39.29,43.12,43.1,80.8,52.8,2553.05,45.06,1279.61,46.16,87,46.62,87,38.4,85,45.54,2683.39,43.47,3.4
"Australia","AUS",20.04,31.83,12.62,9.43,7.43,28.72,21.04,1.17,35.19,2.59,33.22,0.5,24.53,33.4,25.1,28.14,33.55,23.57,63.76,27.3,35.6,49.61,6.75,67.62,13.45,14.07,31.66,32.71,9.85,0.01,30.96,0.61,33.69,37.42,34.58,44.88,38.53,0.01,24.6,0.01,22.09,27.25,49.07,36.23,20.95,21.81,28.89,21,37.7,30.88,4027.63,25.64,0.01909,18.93,67.63,16.32,0.00032,26.31,3.41,26.62,2e-05,75.86,10484.7,61.93,0.04969,66.71,2679.91,53.56,0.0127,70.82,2101.89,56.53,0.00996,32.78,444.21,25.1,0.00211,30.56,179.61,24.18,0.00085,28.49,37.86,23.91,0.00018,41.51,109130.02,30.06,0.51719,41.16,93416.07,29.42,0.44272,42.56,72890.76,31.65,0.34544,48.72,31822.99,43.55,0.15082,47.65,685.81,38.49,0.00325,61.9,43.94,61.9,0.00021,45.72,590278.72,17.73,2.79745,22.11,3016.16,16.77,0.01429,31.5,0.04,0.01,0,73.71,3317310.5,62.03,15.7214,12.55,81.29,14.41,16.06,29.42,11.3,6.73,19,30.88,32953.28,32.45,7484.43,29.81,0,35.89,-47.63,12.82,99.8,7.57,99.99,0.01,100,0.01,100,28.57,188.42,33.54,954.69,0.01,2.5,37.12,126,34.58,49.01,32.82,116.25,35.32,29.03,66.11,19.16,0.23117,50.04,70308,40.26,0.34,48.08,14608,30.87,0.06,0.01,0,0.01,0,45.78,60.6,30.88,16410.6,27.18,248.57,31.68,448.27,29.81,4903.8,20.3,0.024,0.01,0,0.01,0,21.32,1.96057,22.89,1.71196,32.45,0.93519,22.89,1.77004,35.24,283.4,68.32,59.6,41.37,393,31.73,2051.13,14.41,4.51,30.46,5.59,33.34,1026.92,46.26,56.37,6.73,115.2,45.78,1,41.99,4.5,12.55,89.41,27.18,6.71,10.16,152.18,33.54,264.03,38.71,92,38.93,92,35.56,87,24.91,9558.75,45.18,3.6
"Austria","AUT",1.34,0.17,10.56,5.98,6.39,30.79,31.07,0.42,32.35,0.61,29.71,0.58,19.41,23.16,33.13,32.39,27.21,39.32,0.01,0.01,54.85,0.01,0.16,0.01,25.36,35.76,26.63,38.61,0.28,0.01,26.01,0.41,30.87,36.51,30.03,50.23,0.45,0.01,33.54,0.01,20.21,18.64,25.43,19.78,24.7,30.76,35.68,20.15,52.05,43.33,25104.31,55.17,0.30568,41.31,5359.26,40.17,0.06526,29.78,34.08,31.28,0.00042,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.8,214132.55,60.62,2.6074,47.8,182290.72,61.96,2.21968,49.44,135103.48,64.16,1.6451,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,42.4,471563.62,38.26,5.74203,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,24.91,79.92,25.81,15.22,40.11,10.1,31.88,15.2,26.09,37699.65,27.18,10055.55,29.81,0,50,24.07,0.01,100,7.57,99.99,0.01,100,0.01,100,31.73,173.18,21.32,1122.43,0.01,2.5,16.64,144,31.28,47.43,30.46,107.09,25.59,23.27,76.4,24.34,0.18738,49.2,68361,51.28,0.83,20.2,129.5,0.01,0,0.01,0,0.01,0,52.1,121.54,22.89,13242.8,27.7,248.98,23.6,298.98,35.03,12343.2,32.12,0.154,0.01,0,0.01,0,22.13,1.91453,18.45,1.83104,27.7,1.07593,12.55,1.91356,19.49,446.8,33.19,634.2,22.86,766,17.11,4497.34,22.89,5.82,26.65,4.78,27.26,1415.57,30.03,88.37,35.57,100.71,49.77,0.71,31.33,10.15,29.14,65.06,10.16,2.8,33.19,686.22,24.27,158.11,50.87,83,49.73,83,55.73,61,28.68,8500.55,25.81,1.7
