"WRI.Country","ISO3.Code","Year","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10_Norm","SI_10_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Norm","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Afghanistan","AFG",2023,4.02,0.25,64.59,56.02,78.19,61.52,70.61,55.93,62.61,48.81,45.71,83.46,80.34,71.28,67.01,65.94,52.69,56.35,0.01,0.01,46.79,0.01,2.44,0.01,69.78,74.75,80.26,59.39,54.96,34.69,74.71,68.71,41.75,73.91,79.55,45.54,46.54,54.87,74.27,93.79,73.81,87.45,72.14,68.34,73.47,69.09,64.99,68.84,63.16,63.67,173969.26,66.24,0.57259,60.33,57597.28,52.71,0.18957,51.25,1816.13,46.58,0.00598,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.72,326617.47,41.16,1.07501,50.72,281218.89,42.91,0.92558,52.05,213831.11,44.36,0.70379,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,55.86,1844184.83,42.4,6.06982,31.5,25117.39,28,0.08267,0.01,0,0.01,0,0.01,0,0.01,0,68.72,61.98,70.86,9.19,82.72,2.99,67.55,10.26,77.87,1679.78,82.72,-103.84,70.86,524.56,49.77,58.08,53.7,75.09,56.24,50.5,26.92,97.7,44.69,33.2,78.27,0.68,71.32,581.9,65.53,29.8,72.05,104,38.87,51.54,44.84,132.29,73.91,84.6,75.09,80.16,20.45,4.44,79.55,0.44877,51.44,162130,40.32,0.4,60.44,220387,35.84,0.06,47.19,32424,63.81,1.8,25.51,12.99,44.09,22305.7,63.18,26605.58,61.42,1478.5,75.33,5025206.4,73.23,12.968,100,22616.2,87.97,0.06141,69.97,-1.14238,77.87,-1.63437,87.45,-2.52986,87.45,-1.87144,65.42,25.4,79.55,41.06,76.4,64.47,61.13,3.18,77.62,638,69.54,55.7,63.18,0.6,76.4,26.21,68.32,80.75,60.96,0.8,64.76,0.51,69.54,10.56,63.18,1376.87,73.35,4366.76,70.41,8786.03,65.73,66,57.95,71,66.16,44,75.09,448.61,36.97,5.6
"Albania","ALB",2023,6.23,2.29,16.95,11.51,11.28,37.51,49.69,11.85,39.58,1.83,4.73,0.65,51.25,43.06,45.63,25.71,44.99,2.62,2.06,60.41,23.35,0.01,0.17,25.4,40.31,42.75,47.79,74,26.48,0.57,51.3,25.48,42.42,36.82,39.7,25.93,23.53,0.01,42.35,0.01,52.44,50.09,45.13,46.44,38.1,48.08,43.3,41.77,15.83,37.91,14828.76,65.67,0.53054,32.21,1932.77,40.74,0.06915,0.01,0,0.01,0,29.31,96.86,37.26,0.00347,27.02,2.85,25.95,1e-04,0.01,0,0.01,0,49.39,16040.03,71.08,0.57388,51.37,12901.63,74.87,0.46159,51.55,6013.87,69.82,0.21516,20.81,13430.55,28.78,0.48052,19.75,8855.68,26.19,0.31684,20.46,6607.85,25.54,0.23641,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.69,214380.66,85.33,7.67009,0.01,0,0.01,0,0.01,0,0.01,0,24.1,13954.94,26.77,0.49928,38.15,76.46,42.59,12.61,40.78,11.29,44.82,14.45,47.44,15594.26,48.14,3050.19,72.3,547.61,75.73,1366.63,36.47,95.07,19.23,99.3,0.01,100,32,81.3,43.84,198.95,60.03,937.33,19.89,3.9,32.64,136,33.89,48.18,53.09,171.8,36.82,48.19,33.54,24.13,64.43,24.06,39.7,0.21442,26.98,6293,24.93,0.07,24.19,318,22.89,0.01,0.01,0,0.01,0,0.01,2.54,41.31,20678.42,29.59,275.47,41.04,626.95,38.79,41741.8,46.24,1.608,0.01,0,0.01,0,57.41,-0.55592,47.9,-0.00336,48.6,0.10945,51.63,-0.2561,49.3,188.3,41.31,583.1,38.58,380.03,55.91,9.02,33.4,15,43.47,9.5,56.16,3.87,38.87,83.72,50.93,96.04,42.27,5.27,46.49,3.15,41.31,57.81,35.24,9.85,48.84,1367.6,42.34,445.7,12.25,98,11.96,98,27.09,92,46.97,3813.68,43.1,6.7
"Algeria","DZA",2023,9.52,2.62,34.61,18.06,49.69,46.2,45.81,10.53,44.94,2.31,38.39,36.78,61.27,54.45,45.3,44.16,49.29,2.67,0.48,1.69,24.17,0.01,37.95,42.2,39.01,49.09,48.3,47.6,40.13,18.47,51.86,0.32,38.33,55.91,42.34,40.45,30.33,0.01,32.48,41.65,58.82,63.83,53.61,55.79,53.96,44.52,46.1,49.7,39.23,59.66,117466.19,52.93,0.26722,40.5,7328.16,28.5,0.01667,0.01,0,0.01,0,29.67,99.09,18.93,0.00023,23.14,0.77,0.01,0,0.01,0,0.01,0,24.55,72.43,19.81,0.00016,24.18,55.11,20.15,0.00013,0.01,0,0.01,0,35.18,89600.03,17.57,0.20383,33.89,72876.15,18.31,0.16579,31.65,37512.36,16.43,0.08534,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.61,2311617.88,33.76,5.25869,36.98,44696.11,30.09,0.10168,37.56,84.39,35.54,0.00019,51.21,384525.23,34.77,0.87475,38.87,76.38,39.15,13.21,55.91,8.07,43.1,14.63,52.33,11861.49,44.58,4430.51,43.1,15.95,52.56,127.2,36.78,94.44,43.79,85.97,22.23,99.8,15.34,99.7,50.93,94.55,52.8,1064.53,0.01,2.5,10.16,153,35.24,48.8,41.7,119,55.91,58.47,56.9,48.67,49.54,9.8,42.34,0.24622,46.89,101820,34.9,0.23,32,2000,28.75,0.02,0.01,0,0.01,0,31.68,23.01,29.59,12547.29,48.84,9200.56,47.44,851.73,38.15,38483.2,27.65,0.144,43.02,40.8,40.33,1e-04,58.43,-0.61418,59.22,-0.62076,65.42,-0.87647,62.28,-0.81604,51.4,155.06,55.91,241.79,55.18,177.37,56.41,8.58,53.11,112,54.82,22.3,55.91,4.17,59.22,43.35,26.65,109.02,40.84,5.63,54.1,1.45,44.33,52.5,48.6,98.83,45.78,1151.42,55.18,1942.88,37.12,91,35.84,91,45.39,77,43.84,4517.78,55.42,9.3
"Andorra","AND",2023,0.22,0.02,2.37,2.68,1.73,2.86,37.69,0.51,29.12,0.01,24.64,0.01,16.36,31.86,31.59,1.26,0.59,0.14,0.01,0.01,0.01,0.01,0.16,0.01,31.87,47.92,34.04,38.82,0.01,0.01,21.51,32.2,44.95,19.49,28.2,0.01,0.01,0.01,0.01,0.01,21.57,12.41,39.89,34.74,23.34,28.89,34.55,1.37,1.15,16.27,121.59,39.18,0.10667,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.42,8776.58,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.07,80.37,31.68,15.51,45.3,10.56,50.7,13.3,34.91,37165.84,33.19,9892.28,50.93,91.17,29.59,-436.92,0.01,100,0.01,100,0.01,100,0.01,100,10.16,476.19,45.54,1209.78,22.65,4.45,45.78,125.68,36.82,50.01,54.87,178.14,19.49,38.14,10.16,18.06,60.3,20.08,28.2,0.11747,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.97,114.4,26.65,11370.33,15.96,100.23,18.45,255.84,0.01,0,0.01,0,0.01,0,0.01,0,29.14,1.32562,15.96,1.81625,6.73,1.63181,22.89,1.71511,34.58,354.68,46.02,457.5,35.24,440.36,34.24,1472.91,22.45,5.72,24.27,2.8,21.32,2292.52,24.27,112.98,46.61,99.22,43.37,4.73,20.45,42.13,46.49,45.07,0.01,2.24,20.45,273.14,12.55,53.79,0.01,99,11.96,98,12.72,97,35.24,8863.25,0.01,0.3
"Angola","AGO",2023,11.04,2.37,51.44,33.47,58.21,69.87,55.67,59.15,80.02,2.3,69.34,44.27,64.57,69.01,67.5,75.53,66.91,0.12,0.14,26.85,34.66,0.01,49.42,54.65,68.26,62.29,54.42,41.51,62.82,46.8,69.22,60.17,79.06,80.51,80.51,36.41,33.5,0.01,50.7,38.65,64.52,64.62,67.74,73.39,66.12,69.24,65.8,71.19,80.13,15.88,101.84,15.7,0.00028,0.01,0,0.01,0,0.01,0,0.01,0,33.68,155.5,23.57,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,27.11,167.66,22.72,0.00046,29.03,162.22,22.34,0.00045,34.65,160.16,27.08,0.00044,42.21,152531.83,27.49,0.42126,41.86,136071.17,27.81,0.3758,43.63,110911.58,29.42,0.30632,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.06,1162440.5,18.49,3.21044,61.16,360253.63,54.04,0.99495,69.09,72115.94,68.96,0.19917,62.82,1182757.6,47.54,3.26656,69.54,61.64,67,9.46,66.11,5.42,58.69,12.17,59.22,5978.42,50,2610.07,44.33,22.32,38.87,-41.67,70.65,57.17,55.86,51.66,55.43,46.89,39.51,50.2,63.8,7.9,75.09,444.24,56.74,20.8,63.8,113,76.4,68.56,81.81,446.23,80.51,91.48,81.55,86.51,28.2,4.97,80.51,0.45049,40.9,56625,32.41,0.16,31.31,1771,35.84,0.06,0.01,0,0.01,0,69.54,1052.45,68.72,32142.26,69.12,37224.53,69.97,1964.59,52.44,338674.6,49.02,1.974,40.4,19.2,36.97,6.2e-05,59.49,-0.65535,69.97,-1.05937,63.49,-0.71084,65.76,-0.95242,67.55,20.05,67.93,89.45,72.3,72.25,74.49,0.61,60.04,241,72.82,69.4,69.33,0.17,78.68,25.67,60.85,86.73,51.92,1.75,82.12,0.16,66.81,11.89,75.09,4196.55,62.88,2996.61,76.4,11264.85,80.43,45,83.3,43,76.8,32,60.57,1313.29,73.91,21.4
"Antigua and Barbuda","ATG",2023,3.51,1.2,10.26,5.46,5.16,38.31,42.66,1.73,42.18,0.03,51.75,0.08,40.74,42.09,37.46,39.32,38.18,2.51,37.65,0.01,0.01,3.16,2.07,59.08,34.74,48.45,46.97,41.88,32.26,0.01,0.72,38.2,63.84,24.91,47.2,0.38,0.01,0.01,0.6,0.01,46.26,35.87,44.19,41.57,40.6,37.36,37.57,41.15,37.58,22.42,750.99,100,0.82016,20.35,181.14,54.54,0.19783,0.01,0,0.01,0,27.53,50.61,62.9,0.05528,26.63,2.43,43.17,0.00265,29.37,2.03,48.72,0.00221,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.72,3387.95,100,3.7,41.04,274.7,62.47,0.3,0.01,0,0.01,0,15.31,7050.6,100,7.7,15.3,142.78,33.29,0.15593,0.01,0,0.01,0,38.6,90047.29,90.42,98.34122,35.24,78.5,34.24,14.28,50.23,9.29,46.73,14.18,44.33,20773.99,49.77,2753.84,49.3,77.26,35.57,-104.38,26.5,98.03,39.27,90.34,0.01,100,0.01,100,52.1,86.33,0.01,1985.67,28.65,6.18,50.93,122.23,51.16,57.85,79.67,397.02,24.91,40.87,38.01,26.51,56.41,14.36,47.2,0.30602,14.63,95,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,54.22,229.48,52.8,25451.77,52.56,12130.58,47.67,857.04,0.01,0,36.15,0.396,0.01,0,0.01,0,41.83,0.26373,51.16,-0.14225,30.03,0.95555,42.84,0.34299,46.97,219.58,41.57,576.78,41.57,348.53,41.57,409.42,42.73,42,38.58,6.1,44.33,109.99,37.12,85.84,31.68,107.3,39.96,5.97,24.91,28.1,53.27,28.03,47.2,82.17,34.24,597.89,43.1,559.75,34.39,92,33.37,92,46.24,76,31.28,11113.32,46.61,7.5
"Argentina","ARG",2023,14.88,11.54,19.18,13.98,10.76,46.93,39.01,10.07,46.28,0.62,47.34,0.57,53.73,40.64,36.9,44.99,62.27,44.56,29.06,35.41,53.95,0.01,41.82,26.4,38.81,32.18,42.59,43.53,28.31,0.37,40.75,24.07,39.48,48.84,51.4,45.5,0.53,0.01,32.43,0.01,54.46,53,37.16,43.26,41.75,41.18,33.07,39.72,50.97,49.8,57470.03,42.03,0.12716,50.6,18740.8,34.2,0.04147,52.07,1877.25,41.53,0.00415,34.81,182.15,23.22,4e-04,34.47,27.31,24.57,6e-05,33.89,8.43,25.98,2e-05,40.72,3812.53,32.84,0.00844,41.06,1918.11,31.73,0.00424,37.3,465.97,30.33,0.00103,58.17,678003.66,51.16,1.50014,58.17,559364.06,49.86,1.23764,58.76,375357.26,48.61,0.83051,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.18,2903834.83,45.63,6.42496,33.65,28248.16,24.54,0.0625,49.57,6197.19,46.05,0.01371,36.14,72896.87,19.28,0.16129,40.25,75.39,37.42,13.4,41.57,11.15,24.91,17.87,42.08,23173.24,43.1,5096.98,41.83,7.45,45.3,15.68,23.87,98.87,33.58,95.74,0.01,100,14.01,99.9,41.83,228.29,39.7,1289.4,18.64,3.7,31.08,137,54.22,59.18,28.74,81.5,48.84,54.27,47.9,36.03,58.69,18.24,51.4,0.32707,52.19,180936,39.67,0.39,28.25,731,0.01,0,0.01,0,0.01,0,58.69,372.11,43.59,21394.51,45.54,6451.24,43.1,659.11,41.71,53089.8,25.21,0.09,0.01,0,0.01,0,53.98,-0.40078,54.94,-0.35666,50.46,-0.10637,55.67,-0.4623,31.68,389.5,43.59,544.7,37.42,403.5,50,51.52,42.47,39,41.04,6.9,53.27,10.04,50.23,62.37,26.09,109.49,41.13,5.54,47.67,2.88,18.45,92.05,43.59,45.45,32.07,521.48,44.82,671.12,55.23,76,54.18,74,44.26,79,45.3,4051.49,85.59,72.4
"Armenia","ARM",2023,2.61,0.23,29.68,14.22,41.24,44.57,52.36,9.95,40.28,0.67,41.29,32.28,52.22,41.62,47.06,36.11,52.09,46.88,0.01,0.01,28.24,0.01,2.67,0.01,50.33,45.61,49.63,65.97,19.29,0.41,42.6,29.08,39.91,39.15,41.83,45.82,0.01,0.66,28.12,37.05,48.84,55.83,38.17,46.1,40.97,54.22,40.84,46.12,28.27,41.25,22878.68,100,0.82016,42.14,8224.08,61.05,0.29482,29.34,29.37,34.11,0.00105,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.21,25642.72,38.78,0.91925,22.54,14326.24,33.25,0.51357,21.85,9650.36,31.65,0.34595,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.38,205350.24,66.79,7.36145,32.57,26259.52,53.43,0.94136,0.01,0,0.01,0,0.01,0,0.01,0,48.84,72.04,51.86,11.06,40.11,11.33,51.86,13.12,48.37,15135.38,50.93,2568.47,58.43,182.09,74.49,1354.42,10.67,99.97,34.88,93.94,0.01,100,17.01,98.1,46.02,167.19,39.43,1289.61,17.19,3.5,49.19,123,37.12,50.21,42.92,120,39.15,49.63,44.82,30.56,59.49,19.07,41.83,0.24017,38.2,35556,54.97,1.28,0.01,0,0.01,0,43.31,7600,0.01,0,34.24,29.19,46.97,23133.11,39.7,2350.25,45.54,781.99,27.18,4887.2,29.1,0.172,34.04,2.8,40.33,1e-04,44.58,0.07215,53.51,-0.24956,64.43,-0.83559,48.37,-0.0959,36.2,339.81,40.25,596.5,35.57,430.08,59.75,3.55,37.86,26,44.33,10.7,62.58,0.64,43.59,75.89,58.43,89.69,32.21,14.58,47.2,2.96,44.82,50.82,41.83,34.89,53.51,1890.79,43.84,581.72,31.89,93,31.14,93,22.75,94,51.16,2847.42,53.03,8.7
"Australia","AUS",2023,21.54,31.21,14.87,8.12,14.54,27.85,8.36,1.19,38.46,2.82,32.66,4.25,25.95,27.85,27.34,22.91,34.5,23.33,63.12,26.21,34.24,49.35,6.63,66.72,10.16,0.54,26.63,33.4,9.02,0.01,41.26,0.54,37.58,47.2,32.07,47.73,47.11,0.01,32.25,0.56,23.24,28.97,24.01,33.39,26.94,29.64,25.22,20.93,25.07,28.98,4028.33,25.64,0.01908,18.58,67.79,16.54,0.00032,26.31,3.38,26.84,2e-05,75.86,10501.65,61.93,0.04975,65.29,2686.79,54.48,0.01273,67.08,2103.97,56.43,0.00997,30.85,427.9,24.91,0.00203,28.65,161,23.08,0.00076,27.31,33.5,23.37,0.00016,38.45,108603.91,30.38,0.51447,38.78,93037.87,30.06,0.44073,37.79,72688.18,31.33,0.34433,47.99,31845.98,43.55,0.15086,46.84,686.09,38.49,0.00325,61.9,43.55,61.9,0.00021,42.67,590535.29,17.73,2.79742,21.76,3017.69,16.4,0.0143,31.5,0.1,0.01,0,70.87,3319170.78,62.82,15.72324,10.16,84.53,10.16,17.43,29.14,12.73,0.01,21.05,27.18,55329.06,26.09,14421.1,31.08,0,35.89,-103.63,10.67,99.97,7.63,99.99,0.01,100,0.01,100,31.68,353.57,53.74,1054.57,0.01,2.5,29.37,138,34.58,48.65,40.85,116.43,47.2,53.71,41.83,28.24,65.76,25.47,32.07,0.1452,50.34,155725,45.25,0.6,45.11,17240,49.19,0.19,0.01,0,0.01,0,43.1,76.27,31.28,14422.65,26.65,178.73,31.68,392.69,42.37,59188,24.55,0.08,30.94,0.2,0.01,0,22.89,1.73749,23.6,1.51293,35.57,0.85099,23.6,1.67429,29.59,410.2,19.49,1482,38.87,375.45,28.68,3812.36,23.66,6,30.67,3.7,28.68,1584.91,52.56,57.12,17.28,114.95,56.32,1.2,42.34,5.21,6.73,114.19,27.18,5.81,10.16,117.23,33.19,156.43,26.56,95,26.08,95,22.75,94,28.2,12560.54,42.21,6.6
"Austria","AUT",2023,1.15,0.17,7.75,4.73,3.17,31.05,29.32,0.48,31.13,0.18,30.01,0.06,24.71,21.52,33.41,28.85,31.07,38.81,0.01,0.01,54.56,0.01,0.16,0.01,28.68,34.4,24.91,30.09,0.3,0.01,40.9,0.45,27.49,42.08,26.09,56.68,0.01,0.01,0.33,0.01,25.78,23.68,23.8,17.16,24.41,30.38,36.75,20.74,40.14,41.93,27002.15,55.17,0.3074,39.69,5794.48,39.93,0.06597,29.78,32.79,31.28,0.00037,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.01,242842.84,61.28,2.76462,47.4,205927.08,61.96,2.34436,48.61,152243.92,64.16,1.73321,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.93,508202.48,39.04,5.78559,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.68,81.58,28.68,16.03,33.89,12.26,34.91,16.01,24.91,60217.07,24.91,16947.34,31.08,0,29.14,-489.62,0.01,100,8.84,99.97,0.01,100,0.01,100,37.12,289.45,45.06,1215.1,0.01,2.5,19.98,145,24.91,44.1,30.33,88.33,42.08,51.12,22.89,21.74,70.41,29.38,26.09,0.10156,55.39,271200,58,2.05,0.01,0,0.01,0,0.01,0,0.01,0,50.46,157.12,26.09,11258.49,26.09,171.24,23.6,265.67,11.14,2.6,0.01,0,0.01,0,0.01,0,30.03,1.27124,22.13,1.57001,32.45,0.91489,17.28,1.78804,20.45,545.9,27.7,1077,15.96,748.91,18.45,6787.15,19.42,5,30.67,3.7,23.6,2046.44,28.68,102.28,41.44,101.07,55.33,1.27,31.28,13.74,28.68,79.68,10.16,2.66,31.68,496.53,27.7,112.18,45.79,85,44.98,85,31.39,88,18.45,15872.68,52.33,8.6
