iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp
AFG,Afghanistan,33.1928941853536,66.8071058146464,4.02,0.25,56.02,78.19,61.52,7.5,2019.0,413.757894705303,,13.351,66.035,14.9857626,31.0,22.0,9.0,40.0,,,Low income,Asia,South Asia,,,,,6.0252810073679735
ALB,Albania,52.1256791107681,47.8743208892319,6.23,2.29,11.51,11.28,37.51,78.1,2021.0,11377.7757431099,0.3,10.926,79.602,7.05240345,28.96,22.02,8.85,37.82,22.93,1.04,Upper middle income,Europe,Europe and Central Asia,,,,,9.339417235423078
DZA,Algeria,48.9155061749796,51.0844938250204,9.52,2.62,18.06,49.69,46.2,60.2,2021.0,5752.99076651465,0.0,11.633,76.261,4.35082531,27.62,23.02,9.36,37.22,22.86,0.99,Upper middle income,Africa,Middle East and North Africa,,,,,8.65747513187585
AND,Andorra,,,0.22,0.02,2.68,1.73,2.86,,,49303.6491674336,,,84.041,7.69928026,27.96,23.1,9.7,37.9,23.0,1.0,High income,Europe,Europe and Central Asia,,,,,10.805753376914863
AGO,Angola,38.3079378698932,61.6920621301068,11.04,2.37,33.47,58.21,69.87,8.7,2022.0,2665.87444776753,39.3,14.108,64.617,2.54692864,55.0,10.0,3.0,59.0,32.31,2.15,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.888287405769062
ATG,Antigua and Barbuda,49.0458403757996,50.9541596242004,3.51,1.2,5.46,5.16,38.31,,,23542.4526945578,,,77.598,3.91348195,,,,,,,,,,,,,,10.066560568018614
ARG,Argentina,49.5860129429258,50.4139870570742,14.88,11.54,13.98,10.76,46.93,65.9,2021.0,13969.7836603737,1.0,7.145,77.395,10.2695179,39.6,16.8,6.1000000000000005,46.1,30.3,1.8,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.54465196611633
ARM,Armenia,57.1754268097306,42.8245731902694,2.61,0.23,14.22,41.24,44.57,49.2,2021.0,8556.21406956719,1.9,12.871,77.4658536585366,9.32119179,33.62,20.74,8.38,42.4,28.37,1.37,Upper middle income,Asia,Europe and Central Asia,,,,,9.054413089707818
AUS,Australia,68.8685917266892,31.131408273310797,21.54,31.21,8.12,14.54,27.85,94.0,2022.0,64603.9856308464,1.0,4.09,83.0512195121951,10.39852047,33.0,19.68,7.32,40.17,24.86,1.26,High income,Oceania,East Asia and the Pacific,,,,,11.076031384939434
AUT,Austria,69.0440529897239,30.955947010276105,1.15,0.17,4.73,3.17,31.05,100.0,2022.0,58268.8787651601,0.5,5.582,81.5414634146342,11.8325634,26.8,23.2,8.9,35.9,21.6,0.93,High income,Europe,Europe and Central Asia,,,,,10.972823417891926
AZE,Azerbaijan,51.9736469145074,48.0263530854926,2.09,0.23,11.32,12.32,49.36,35.2,2023.0,7283.8499076179,0.0,5.457,74.429,4.27113533,26.55,28.03,12.36,31.72,18.52,0.66,Upper middle income,Asia,Europe and Central Asia,,,,,8.893414834871592
BHS,Bahamas,48.7086280712163,51.2913719287837,4.78,1.51,8.56,9.67,41.57,,,39455.4466548546,,9.207,74.552,6.30260801,41.4,15.9,5.8,46.8,31.4,1.97,High income,Americas,Latin America and the Caribbean,10111.0,,,,10.5829273815058
BHR,Bahrain,54.5539737710923,45.4460262289077,0.87,0.14,4.85,2.61,12.55,,,29653.5682731534,,1.102,81.284,3.99562383,59.6,,,,,,High income,Asia,Middle East and North Africa,,,,,10.297337743665537
BGD,Bangladesh,35.5462940007947,64.4537059992053,27.29,16.57,35.3,57.88,44.39,22.0,2021.0,2593.41611680774,5.9,3.778,74.672,2.17014575,32.39,21.08,8.64,41.43,26.83,1.27,Lower middle income,Asia,South Asia,,,,,7.860731249643071
BRB,Barbados,60.9561765470909,39.0438234529091,2.58,0.48,6.99,8.49,44.93,,,26544.8707282621,1.7,6.524,76.178,5.40463829,32.0,13.0,4.3,54.9,39.9,3.0700000000000003,High income,Americas,Latin America and the Caribbean,,,,,10.186591815096783
BLR,Belarus,56.8178598177838,43.1821401822162,0.75,0.05,6.49,5.83,36.57,36.0,2019.0,8317.63399913792,0.0,3.38,74.1837804878049,7.08167362,25.44,24.17,9.93,35.5,21.28,0.88,Upper middle income,Europe,Europe and Central Asia,32.0,,,,9.026133118269371
BEL,Belgium,62.5989415153557,37.4010584846443,5.83,1.84,8.03,27.21,28.91,100.0,2022.0,56614.5679499036,0.1,5.906,82.3975609756098,10.80371571,25.6,23.4,9.1,34.5,20.5,0.88,High income,Europe,Europe and Central Asia,,,,,10.94402161534754
BLZ,Belize,43.6341558659194,56.3658441340806,7.61,2.5,21.14,12.15,48.24,,,7681.24400583113,1.0,8.856,73.566,4.14735794,53.26,10.9,3.21,57.69,42.43,3.89,Upper middle income,Americas,Latin America and the Caribbean,,,,,8.946536792950315
BEN,Benin,38.5229434147719,61.4770565852281,1.6,0.09,41.2,12.87,43.94,8.4,2020.0,1485.38018885134,27.2,1.589,60.774,3.33732462,47.76,12.87,3.24,52.13,37.62,2.92,Low income,Africa,Sub-Saharan Africa,,,,,7.303426037897931
BTN,Bhutan,48.1793317991413,51.8206682008587,1.21,0.1,8.58,8.94,39.97,,,3831.32535494609,0.0,3.227,72.975,4.41551638,37.44,17.47,6.68,44.38,27.93,1.6,Lower middle income,Asia,South Asia,,,,,8.250966067992525
BOL,"Bolivia, Plurinational State of",41.6886972245285,58.3113027754715,2.98,0.35,28.14,13.47,42.71,38.4,2021.0,4421.16609889999,2.8,2.967,68.581,6.91864729,43.8,13.7,4.0,48.3,31.2,2.28,Lower middle income,Americas,Latin America and the Caribbean,,,,,8.394158763557042
BIH,Bosnia and Herzegovina,51.1960284880304,48.8039715119696,2.63,0.34,14.13,11.51,51.26,54.5,2021.0,9358.78768951134,0.2,11.037,77.85,8.9216938,33.03,19.76,7.46,40.67,25.14,1.27,Upper middle income,Europe,Europe and Central Asia,,,,,9.1440710407318
