iso3,country,gain_score,vulnerability,wri_score,exposure,susceptibility,lack_coping,lack_adaptation,sp_coverage_rate,sp_year,gdp_per_capita,poverty_ratio,unemployment_rate,life_expectancy,health_exp_gdp,gini,bottom40_share,bottom20_share,top20_share,top10_share,palma_ratio,income_group,region_un,region_wb,mean_income_usd,adaptive_sp_score,has_trigger,has_registry,log_gdp,physical_exposure,gdp_inverted,socio_vulnerability,CLVI,sp_score,protection_gap,CLVI_0.6_0.4,CLVI_0.4_0.6,CLVI_0.7_0.3
AFG,Afghanistan,33.1928941853536,66.8071058146464,4.02,0.25,56.02,78.19,61.52,7.5,2019.0,413.757894705303,,13.351,66.035,14.9857626,31.0,22.0,9.0,40.0,,,Low income,Asia,South Asia,,,,,6.0252810073679735,0.6329155742262431,0.9993247212888333,0.3406418975237816,0.48677873587501236,0.075,0.41177873587501235,0.5160061035452586,0.45755136820476616,0.5452334712155046
ALB,Albania,52.1256791107681,47.8743208892319,6.23,2.29,11.51,11.28,37.51,78.1,2021.0,11377.7757431099,0.3,10.926,79.602,7.05240345,28.96,22.02,8.85,37.82,22.93,1.04,Upper middle income,Europe,Europe and Central Asia,,,,,9.339417235423078,0.19702286409636363,0.9612263776706956,0.2896441788031817,0.24333352144977266,0.7809999999999999,-0.5376664785502272,0.23407138997909085,0.2525956529204545,0.22480925850840905
DZA,Algeria,48.9155061749796,51.0844938250204,9.52,2.62,18.06,49.69,46.2,60.2,2021.0,5752.99076651465,0.0,11.633,76.261,4.35082531,27.62,23.02,9.36,37.22,22.86,0.99,Upper middle income,Africa,Middle East and North Africa,,,,,8.65747513187585,0.36969797673168514,0.9807716751865736,0.28383481837225943,0.3267663975519723,0.6020000000000001,-0.2752336024480278,0.33535271338791484,0.31818008171602974,0.34393902922385744
AND,Andorra,,,0.22,0.02,2.68,1.73,2.86,,,49303.6491674336,,,84.041,7.69928026,27.96,23.1,9.7,37.9,23.0,1.0,High income,Europe,Europe and Central Asia,,,,,10.805753376914865,0.003798088703749081,0.8294395657814634,0.2563038573187214,0.13005097301123525,0.413,-0.28294902698876473,0.10480039614973802,0.15530154987273245,0.07954981928824077
AGO,Angola,38.3079378698932,61.6920621301068,11.04,2.37,33.47,58.21,69.87,8.7,2022.0,2665.87444776753,39.3,14.108,64.617,2.54692864,55.0,10.0,3.0,59.0,32.31,2.15,Lower middle income,Africa,Sub-Saharan Africa,,,,,7.888287405769062,0.5329128592795849,0.9914989487031798,0.6075247491295057,0.5702188042045453,0.087,0.4832188042045453,0.5627576152195533,0.5776799931895373,0.5552964262345611
ATG,Antigua and Barbuda,49.0458403757996,50.9541596242004,3.51,1.2,5.46,5.16,38.31,,,23542.4526945578,,,77.598,3.91348195,,,,,,,,,,,,,,10.066560568018614,0.15624915359866698,0.9189559208994728,0.35861116314748165,0.2574301583730743,0.413,-0.15556984162692566,0.23719395741819282,0.2776663593279558,0.2169577564633114
ARG,Argentina,49.5860129429258,50.4139870570742,14.88,11.54,13.98,10.76,46.93,65.9,2021.0,13969.7836603737,1.0,7.145,77.395,10.2695179,39.6,16.8,6.1000000000000005,46.1,30.3,1.8,Upper middle income,Americas,Latin America and the Caribbean,,,,,9.54465196611633,0.273670231808917,0.9522195327660041,0.3811597739571858,0.32741500288305136,0.659,-0.33158499711694867,0.3166660486682245,0.3381639570978783,0.3059170944533976
ARM,Armenia,57.1754268097306,42.8245731902694,2.61,0.23,14.22,41.24,44.57,49.2,2021.0,8556.21406956719,1.9,12.871,77.4658536585366,9.32119179,33.62,20.74,8.38,42.4,28.37,1.37,Upper middle income,Asia,Europe and Central Asia,,,,,9.054413089707818,0.3155484424854302,0.9710308879938925,0.33684497744613173,0.326196709965781,0.49200000000000005,-0.16580329003421906,0.3240670564697108,0.32832636346185107,0.3219374029736406
AUS,Australia,68.8685917266892,31.1314082733108,21.54,31.21,8.12,14.54,27.85,94.0,2022.0,64603.9856308464,1.0,4.09,83.0512195121951,10.39852047,33.0,19.68,7.32,40.17,24.86,1.26,High income,Oceania,East Asia and the Pacific,,,,,11.076031384939434,0.2725409152054211,0.7762731550626917,0.2776805031142633,0.2751107091598422,0.9400000000000001,-0.6648892908401578,0.27459675036895803,0.27562466795072643,0.27408279157807375
AUT,Austria,69.0440529897239,30.955947010276105,1.15,0.17,4.73,3.17,31.05,100.0,2022.0,58268.8787651601,0.5,5.582,81.5414634146342,11.8325634,26.8,23.2,8.9,35.9,21.6,0.93,High income,Europe,Europe and Central Asia,,,,,10.972823417891926,0.11748229468761588,0.7982867162921328,0.23255648310516513,0.17501938889639052,1.0,-0.8249806111036095,0.16351197005463558,0.18652680773814545,0.15200455121288065
